89 3
330.93,1306024,3946.5,0
759.12,138706,182.1,0
209.38,55749,266.3,0
315.05,135167,429,0
181.65,40366,272.2,0
1085.39,131198,120.9,0
1019.17,121499,119.2,0
576.91,141663,245.6,0
365.02,54456,149.2,0
568.54,47490,83.5,0
568.7,53483,94,0
459.37,27026,58.8,0
582.19,60539,104,0
229.36,38607,168.3,0
322.42,23234,72.1,0
347.73,30889,88.8,0
671.3,36300,54.1,0
271.42,21515,79.3,0
261.44,42482,162.5,0
961.91,154739,160.9,0
441.5,39590,89.7,0
1085.09,135459,124.8,0
97.93,23578,240.8,0
125.1,24836,198.5,0
505.88,38568,76.2,0
1207.38,174628,144.6,0
1336.79,152268,113.9,0
1055.09,79532,75.4,0
456.25,33033,72.4,0
474.83,37083,78.1,0
1692.89,156557,92.5,0
24.49,20087,820.2,0
858.06,74383,86.7,0
528.88,40814,77.2,0
1744.45,202356,116,0
679.88,188916,277.9,0
1123.26,109480,97.5,0
744.65,67574,90.7,0
1114.27,91987,82.6,0
973.13,106762,109.7,0
1199.54,136177,113.5,0
593.69,61065,102.9,0
653.04,46071,70.5,0
1053.85,142163,134.9,0
1191.14,102431,86,0
984.24,685783,696.6,0
55.61,97563,1754.4,0
310.62,145511,468.5,0
889.59,68424,76.9,0
757.54,104125,137.5,0
747.97,98102,131.2,0
528.02,75965,143.9,0
432.77,41756,96.5,0
939.95,150127,159.7,0
887.22,123161,138.8,0
1726.77,225552,130.6,0
538.57,89989,167.1,0
453.58,110799,244.3,0
489.63,74806,152.8,0
520.87,72111,138.4,0
223.6,35439,158.5,0
900.46,190239,211.3,0
1282.67,270471,210.9,0
658.07,81060,123.2,0
1515.92,224789,148.3,0
504.19,66731,132.4,0
870.41,77400,88.9,0
710.54,238722,336,0
410.8,57350,139.6,0
446.85,60078,134.4,0
859.52,77689,90.4,0
1672.24,174620,104.4,0
641.85,53229,82.9,0
1209.98,102429,84.7,0
1415.78,135007,95.4,0
539.99,51216,94.8,0
477.4,71767,150.3,0
561.72,62753,111.7,0
713.16,61575,86.3,0
1511.03,467367,309.3,0
577.75,60277,104.3,0
396.82,38152,96.1,0
717.49,72692,101.3,0
1026.5,123112,119.9,0
1048.81,120165,114.6,0
771.94,115852,150.1,0
592.27,58453,98.7,0
319.08,13348,41.8,0
323.48,69094,213.6,0
