89 4
56750,57218,300201,242375,0
7684,5790,20279,23491,0
3780,1977,11058,7398,0
7226,5623,25571,20380,0
2226,1305,9347,12432,0
8187,5140,14632,24377,0
8165,2763,11638,24489,0
5810,5212,15019,30532,0
3017,3045,6733,9412,0
3942,1153,3119,8220,0
3972,2766,7301,8909,0
1991,932,2752,4912,0
3499,1687,5608,11470,0
2469,1751,6492,5112,0
2070,598,2674,4820,0
2291,836,2791,5688,0
2587,927,3960,6469,0
2075,454,3124,3435,0
1663,504,3599,6885,0
9438,5778,16163,28787,0
2920,1143,3483,7025,0
8747,4844,12417,25132,0
1614,1541,2792,3683,0
1684,1136,2851,4810,0
3757,652,2161,7287,0
10126,4043,14208,32746,0
10171,5760,13948,25430,0
7259,1484,4638,14979,0
3280,578,1607,5057,0
3867,835,1745,5757,0
11767,3506,7203,27350,0
978,1472,2726,3321,0
4322,2064,3432,14601,0
4148,830,1948,6706,0
12628,6745,13733,36240,0
7973,10559,24144,31991,0
5884,3122,6775,23835,0
4417,1485,3922,13172,0
6128,2192,5550,18791,0
8065,3942,7945,17942,0
6331,4737,10942,26253,0
2804,2720,3448,11911,0
3078,1976,2195,8889,0
7061,5029,10980,28747,0
7740,3676,4994,17862,0
26467,23372,114459,142258,0
3751,2743,17017,25602,0
4815,4252,25409,26261,0
5503,1536,4260,13437,0
6059,3405,9951,21382,0
5843,2164,7288,21638,0
4315,1942,7505,17506,0
2435,878,2473,9316,0
8250,6385,15099,28740,0
6468,3331,9463,29032,0
12315,7007,18766,44127,0
5139,2330,7652,23557,0
5035,3803,11789,26103,0
3664,1928,5152,19647,0
3996,1812,6614,16570,0
2263,751,3172,9080,0
8924,5485,18693,48969,0
12764,12361,32747,39394,0
6036,1791,6405,13785,0
11262,5030,20789,43324,0
3612,2292,5552,14036,0
4629,2462,5255,15462,0
8933,5669,24468,54208,0
2604,1209,4653,13266,0
2827,1524,4974,12239,0
3962,3759,5378,14633,0
12833,6077,13434,32520,0
4509,1225,2993,9563,0
6720,3731,6679,20093,0
10014,5104,9125,25162,0
4245,1204,3241,8592,0
4260,2491,5648,15665,0
4402,1617,4641,13225,0
4615,1285,3667,12983,0
19951,14561,63228,101176,0
4482,3696,6893,12158,0
2627,1194,2803,8037,0
6044,2520,5569,14411,0
9575,3439,11234,22490,0
8508,4479,11723,22118,0
7661,3951,13258,20624,0
4163,2505,5871,12812,0
1375,404,1653,2192,0
4409,2452,7370,13256,0
